Sprint,Module,Developer,QA,Priority,Status,Root_Cause_Analysis,Defect_Age_Days,Reopened,Fix_Time_Days
Sprint 3,Payments,Eve,QA2,Low,In Progress,Code Issue,17,False,8
Sprint 3,Notifications,Alice,QA2,Medium,In Progress,Environment Issue,19,True,2
Sprint 3,Notifications,Alice,QA2,Low,Closed,Test Coverage Miss,24,True,5
Sprint 3,Notifications,Alice,QA2,Low,Open,Code Issue,5,False,3
Sprint 3,Reports,Alice,QA3,Critical,Resolved,Environment Issue,27,True,6
Sprint 3,Reports,Alice,QA3,High,In Progress,Test Coverage Miss,9,True,8
Sprint 3,Reports,Alice,QA3,High,Closed,Environment Issue,3,True,3
Sprint 3,Reports,Alice,QA3,Critical,Resolved,Code Issue,4,True,3
Sprint 3,Reports,Alice,QA3,High,Closed,Requirement Gap,16,False,5
Sprint 3,Reports,Alice,QA3,High,Resolved,Test Coverage Miss,4,False,3
Sprint 3,Dashboard,David,QA4,Low,Resolved,Environment Issue,27,False,4
Sprint 3,Dashboard,David,QA4,High,In Progress,Code Issue,2,True,1
Sprint 3,Dashboard,David,QA4,Medium,In Progress,Requirement Gap,12,True,7
Sprint 3,Dashboard,David,QA4,Critical,In Progress,Environment Issue,17,True,6
Sprint 3,Dashboard,David,QA4,High,Open,Environment Issue,28,True,2
Sprint 3,Dashboard,David,QA4,Medium,Closed,Code Issue,12,False,2
Sprint 3,Dashboard,David,QA4,Medium,Closed,Environment Issue,20,False,3
Sprint 4,Authentication,Frank,QA2,Low,Resolved,Code Issue,30,False,9
Sprint 4,Authentication,Frank,QA2,Critical,Closed,Requirement Gap,24,False,1
Sprint 4,Authentication,Frank,QA2,High,Resolved,Environment Issue,27,False,7
Sprint 4,Authentication,Frank,QA2,Critical,Open,Environment Issue,13,True,9
Sprint 4,Authentication,Frank,QA2,Medium,Open,Test Coverage Miss,4,False,4
Sprint 4,Billing,Frank,QA4,Medium,Closed,Test Coverage Miss,13,False,6
Sprint 4,Billing,Frank,QA4,Medium,Resolved,Environment Issue,16,False,9
Sprint 4,Billing,Frank,QA4,Low,Closed,Requirement Gap,16,True,2
Sprint 4,Billing,Frank,QA4,Critical,Closed,Requirement Gap,30,True,4
Sprint 4,Billing,Frank,QA4,Low,In Progress,Environment Issue,10,True,2
Sprint 4,Billing,Frank,QA4,Critical,Resolved,Requirement Gap,24,True,7
Sprint 4,Billing,Frank,QA4,High,Closed,Requirement Gap,25,True,3
Sprint 4,Payments,David,QA2,Low,In Progress,Test Coverage Miss,14,False,6
Sprint 4,Payments,David,QA2,High,Closed,Environment Issue,21,True,1
Sprint 4,Payments,David,QA2,Low,Closed,Environment Issue,19,False,5
Sprint 4,Payments,David,QA2,Critical,Resolved,Environment Issue,5,True,8
Sprint 4,Notifications,Charlie,QA1,High,Resolved,Environment Issue,30,True,7
Sprint 4,Notifications,Charlie,QA1,Medium,Open,Code Issue,7,False,4
Sprint 4,Notifications,Charlie,QA1,Low,Open,Code Issue,2,False,5
Sprint 4,Notifications,Charlie,QA1,Medium,Resolved,Environment Issue,3,False,3
Sprint 4,Notifications,Charlie,QA1,Critical,Open,Environment Issue,24,False,7
Sprint 4,Notifications,Charlie,QA1,Low,Resolved,Environment Issue,15,True,9
Sprint 4,Reports,Charlie,QA2,Low,Closed,Environment Issue,12,True,3
Sprint 4,Reports,Charlie,QA2,Medium,Resolved,Code Issue,5,False,2
Sprint 4,Reports,Charlie,QA2,High,Open,Requirement Gap,3,True,8
Sprint 4,Reports,Charlie,QA2,Medium,Open,Requirement Gap,3,False,8
Sprint 4,Reports,Charlie,QA2,Low,In Progress,Requirement Gap,29,True,1
Sprint 4,Reports,Charlie,QA2,Medium,Open,Requirement Gap,17,False,5
Sprint 4,Dashboard,Alice,QA3,High,Closed,Code Issue,22,True,6
Sprint 4,Dashboard,Alice,QA3,Medium,In Progress,Environment Issue,7,True,6
Sprint 4,Dashboard,Alice,QA3,Medium,In Progress,Code Issue,3,False,2
Sprint 4,Dashboard,Alice,QA3,High,Closed,Test Coverage Miss,18,True,8
Sprint 4,Dashboard,Alice,QA3,Medium,Open,Test Coverage Miss,7,True,5
Sprint 4,Dashboard,Alice,QA3,Low,In Progress,Requirement Gap,13,False,3
Sprint 4,Dashboard,Alice,QA3,Low,Closed,Requirement Gap,21,True,5
Sprint 5,Authentication,Alice,QA5,Medium,In Progress,Code Issue,21,False,3
Sprint 5,Authentication,Alice,QA5,Medium,In Progress,Test Coverage Miss,29,True,3
Sprint 5,Authentication,Alice,QA5,High,Closed,Requirement Gap,18,False,5
Sprint 5,Authentication,Alice,QA5,Critical,Resolved,Test Coverage Miss,19,False,7
Sprint 5,Billing,Eve,QA2,Low,Open,Requirement Gap,11,False,8
Sprint 5,Billing,Eve,QA2,High,Resolved,Environment Issue,19,False,5
Sprint 5,Billing,Eve,QA2,High,Resolved,Code Issue,20,True,10
Sprint 5,Billing,Eve,QA2,High,Closed,Requirement Gap,27,False,9
Sprint 5,Billing,Eve,QA2,Medium,Resolved,Requirement Gap,22,False,4
Sprint 5,Billing,Eve,QA2,Critical,Closed,Code Issue,17,True,2
Sprint 5,Billing,Eve,QA2,High,In Progress,Test Coverage Miss,25,True,10
Sprint 5,Billing,Eve,QA2,Critical,Open,Environment Issue,15,True,4
Sprint 5,Payments,Eve,QA2,Low,Resolved,Requirement Gap,14,False,5
Sprint 5,Payments,Eve,QA2,Medium,In Progress,Environment Issue,18,True,2
Sprint 5,Payments,Eve,QA2,High,Closed,Environment Issue,5,True,8
Sprint 5,Payments,Eve,QA2,Critical,Resolved,Test Coverage Miss,12,True,8
Sprint 5,Payments,Eve,QA2,Medium,Closed,Environment Issue,29,False,1
Sprint 5,Payments,Eve,QA2,Critical,In Progress,Test Coverage Miss,27,False,2
Sprint 5,Payments,Eve,QA2,High,Closed,Test Coverage Miss,8,False,1
Sprint 5,Payments,Eve,QA2,High,Resolved,Code Issue,13,False,6
Sprint 5,Payments,Eve,QA2,Low,Open,Test Coverage Miss,21,False,3
Sprint 5,Notifications,Bob,QA4,Low,Open,Code Issue,13,False,4
Sprint 5,Notifications,Bob,QA4,Medium,Closed,Environment Issue,27,True,5
Sprint 5,Notifications,Bob,QA4,Medium,In Progress,Code Issue,30,True,5
Sprint 5,Reports,Alice,QA5,Medium,Open,Environment Issue,11,False,6
Sprint 5,Reports,Alice,QA5,Medium,Resolved,Environment Issue,16,True,2
Sprint 5,Reports,Alice,QA5,Critical,Open,Environment Issue,12,False,5
Sprint 5,Reports,Alice,QA5,Medium,In Progress,Code Issue,21,False,1
Sprint 5,Reports,Alice,QA5,Critical,Open,Environment Issue,27,False,6
Sprint 5,Reports,Alice,QA5,High,Open,Test Coverage Miss,16,True,10
Sprint 5,Reports,Alice,QA5,High,Resolved,Test Coverage Miss,18,False,2
Sprint 5,Dashboard,Frank,QA4,Medium,In Progress,Test Coverage Miss,13,True,3
Sprint 5,Dashboard,Frank,QA4,High,Closed,Code Issue,23,True,7
Sprint 5,Dashboard,Frank,QA4,Medium,In Progress,Code Issue,23,True,2
Sprint 5,Dashboard,Frank,QA4,Critical,In Progress,Test Coverage Miss,2,False,9
Sprint 6,Authentication,Frank,QA1,Critical,Closed,Requirement Gap,6,False,6
Sprint 6,Authentication,Frank,QA1,High,Closed,Test Coverage Miss,20,True,5
Sprint 6,Billing,Frank,QA2,High,Open,Test Coverage Miss,22,True,2
Sprint 6,Billing,Frank,QA2,Critical,Closed,Requirement Gap,12,False,7
Sprint 6,Billing,Frank,QA2,High,Closed,Requirement Gap,4,False,5
Sprint 6,Billing,Frank,QA2,High,Closed,Requirement Gap,24,False,4
Sprint 6,Billing,Frank,QA2,Critical,Resolved,Environment Issue,19,False,5
Sprint 6,Billing,Frank,QA2,Critical,Resolved,Code Issue,6,True,5
Sprint 6,Billing,Frank,QA2,Low,Open,Requirement Gap,27,False,1
Sprint 6,Billing,Frank,QA2,Low,In Progress,Test Coverage Miss,24,True,10
Sprint 6,Billing,Frank,QA2,High,In Progress,Test Coverage Miss,3,True,2
Sprint 6,Billing,Frank,QA2,Medium,Resolved,Code Issue,9,False,7
Sprint 6,Payments,Bob,QA5,Critical,In Progress,Requirement Gap,27,False,4
Sprint 6,Payments,Bob,QA5,Medium,Resolved,Test Coverage Miss,16,True,6
Sprint 6,Payments,Bob,QA5,Medium,In Progress,Code Issue,8,False,7
Sprint 6,Payments,Bob,QA5,Low,In Progress,Requirement Gap,15,False,10
Sprint 6,Payments,Bob,QA5,Low,Resolved,Test Coverage Miss,20,True,4
Sprint 6,Payments,Bob,QA5,Critical,In Progress,Test Coverage Miss,19,True,8
Sprint 6,Payments,Bob,QA5,Low,Open,Code Issue,27,True,6
Sprint 6,Payments,Bob,QA5,High,Resolved,Environment Issue,6,False,4
Sprint 6,Payments,Bob,QA5,High,Closed,Test Coverage Miss,28,True,1
Sprint 6,Notifications,Frank,QA1,Critical,Resolved,Requirement Gap,21,True,2
Sprint 6,Notifications,Frank,QA1,Critical,Closed,Test Coverage Miss,9,True,3
Sprint 6,Notifications,Frank,QA1,High,In Progress,Requirement Gap,7,True,5
Sprint 6,Notifications,Frank,QA1,Medium,Closed,Environment Issue,16,False,9
Sprint 6,Notifications,Frank,QA1,High,Resolved,Requirement Gap,27,False,7
Sprint 6,Notifications,Frank,QA1,Critical,Closed,Requirement Gap,14,True,4
Sprint 6,Notifications,Frank,QA1,Low,Closed,Environment Issue,4,True,7
Sprint 6,Notifications,Frank,QA1,Critical,In Progress,Requirement Gap,26,False,4
Sprint 6,Reports,Bob,QA4,High,Resolved,Requirement Gap,1,True,1
Sprint 6,Reports,Bob,QA4,High,Closed,Code Issue,29,True,2
Sprint 6,Reports,Bob,QA4,Low,Closed,Requirement Gap,16,True,1
Sprint 6,Reports,Bob,QA4,Critical,Closed,Test Coverage Miss,29,False,5
Sprint 6,Reports,Bob,QA4,Critical,Open,Environment Issue,1,True,6
Sprint 6,Reports,Bob,QA4,Low,Resolved,Code Issue,15,True,1
Sprint 6,Dashboard,Frank,QA5,Low,Closed,Environment Issue,2,False,3
Sprint 6,Dashboard,Frank,QA5,High,Resolved,Code Issue,1,False,1
Sprint 6,Dashboard,Frank,QA5,Medium,Open,Requirement Gap,30,False,2
Sprint 6,Dashboard,Frank,QA5,Medium,Open,Requirement Gap,12,False,4
Sprint 6,Dashboard,Frank,QA5,Medium,Open,Requirement Gap,30,True,4
Sprint 6,Dashboard,Frank,QA5,Medium,Open,Environment Issue,20,False,9
Sprint 7,Authentication,Alice,QA4,Critical,Resolved,Code Issue,28,True,8
Sprint 7,Authentication,Alice,QA4,Medium,Open,Code Issue,29,False,6
Sprint 7,Authentication,Alice,QA4,Low,In Progress,Test Coverage Miss,13,False,1
Sprint 7,Authentication,Alice,QA4,Medium,In Progress,Requirement Gap,20,True,2
Sprint 7,Authentication,Alice,QA4,Critical,Open,Requirement Gap,6,False,3
Sprint 7,Authentication,Alice,QA4,Low,Closed,Requirement Gap,15,True,7
Sprint 7,Authentication,Alice,QA4,High,Open,Requirement Gap,26,True,5
Sprint 7,Billing,Frank,QA3,Critical,In Progress,Code Issue,24,True,5
Sprint 7,Billing,Frank,QA3,Medium,Open,Test Coverage Miss,3,True,1
Sprint 7,Billing,Frank,QA3,Critical,Resolved,Test Coverage Miss,20,False,3
Sprint 7,Payments,Frank,QA2,Low,Open,Test Coverage Miss,26,True,10
Sprint 7,Payments,Frank,QA2,High,Closed,Requirement Gap,22,True,10
Sprint 7,Payments,Frank,QA2,Low,Closed,Environment Issue,14,False,7
Sprint 7,Payments,Frank,QA2,Low,In Progress,Test Coverage Miss,25,False,5
Sprint 7,Payments,Frank,QA2,Medium,Closed,Code Issue,17,True,4
Sprint 7,Payments,Frank,QA2,Medium,Closed,Code Issue,23,False,6
Sprint 7,Notifications,Alice,QA1,Low,In Progress,Test Coverage Miss,24,True,3
Sprint 7,Notifications,Alice,QA1,High,In Progress,Test Coverage Miss,4,False,2
Sprint 7,Notifications,Alice,QA1,Low,Closed,Environment Issue,8,True,7
Sprint 7,Notifications,Alice,QA1,High,Resolved,Environment Issue,15,False,9
Sprint 7,Notifications,Alice,QA1,Critical,Closed,Requirement Gap,17,False,4
Sprint 7,Notifications,Alice,QA1,Low,In Progress,Test Coverage Miss,22,True,10
Sprint 7,Reports,Alice,QA2,Low,Open,Code Issue,19,False,2
Sprint 7,Reports,Alice,QA2,Critical,In Progress,Test Coverage Miss,1,False,9
Sprint 7,Reports,Alice,QA2,Medium,Open,Test Coverage Miss,4,False,6
Sprint 7,Reports,Alice,QA2,Medium,Closed,Code Issue,27,False,10
Sprint 7,Dashboard,Bob,QA4,Critical,In Progress,Requirement Gap,2,False,7
Sprint 7,Dashboard,Bob,QA4,Medium,Open,Test Coverage Miss,18,False,10
Sprint 7,Dashboard,Bob,QA4,Low,Closed,Requirement Gap,19,True,10
Sprint 7,Dashboard,Bob,QA4,Critical,Closed,Environment Issue,22,False,4
Sprint 7,Dashboard,Bob,QA4,High,In Progress,Code Issue,28,True,4
Sprint 7,Dashboard,Bob,QA4,High,In Progress,Requirement Gap,9,False,1
Sprint 7,Dashboard,Bob,QA4,Low,Closed,Environment Issue,7,False,9
Sprint 7,Dashboard,Bob,QA4,Medium,Closed,Code Issue,17,True,1
Sprint 7,Dashboard,Bob,QA4,Low,In Progress,Code Issue,15,True,3
Sprint 7,Dashboard,Bob,QA4,Medium,Closed,Requirement Gap,2,True,1
Sprint 8,Authentication,Frank,QA1,Medium,Open,Environment Issue,16,True,7
Sprint 8,Authentication,Frank,QA1,Medium,Resolved,Code Issue,21,True,3
Sprint 8,Authentication,Frank,QA1,Critical,Open,Requirement Gap,19,False,4
Sprint 8,Billing,Eve,QA1,Low,In Progress,Code Issue,26,True,6
Sprint 8,Billing,Eve,QA1,Medium,In Progress,Code Issue,19,False,2
Sprint 8,Billing,Eve,QA1,High,Open,Environment Issue,22,False,5
Sprint 8,Billing,Eve,QA1,Low,In Progress,Code Issue,12,False,1
Sprint 8,Billing,Eve,QA1,Medium,Resolved,Test Coverage Miss,1,True,10
Sprint 8,Billing,Eve,QA1,Low,Open,Test Coverage Miss,1,False,3
Sprint 8,Billing,Eve,QA1,High,Closed,Test Coverage Miss,28,False,6
Sprint 8,Payments,David,QA1,Critical,Resolved,Environment Issue,19,False,4
Sprint 8,Payments,David,QA1,Medium,Closed,Environment Issue,27,True,4
Sprint 8,Payments,David,QA1,High,Open,Requirement Gap,12,False,6
Sprint 8,Payments,David,QA1,Low,In Progress,Test Coverage Miss,14,False,7
Sprint 8,Payments,David,QA1,High,In Progress,Test Coverage Miss,23,True,2
Sprint 8,Payments,David,QA1,Critical,In Progress,Test Coverage Miss,8,True,5
Sprint 8,Payments,David,QA1,High,Resolved,Environment Issue,7,False,7
Sprint 8,Payments,David,QA1,Low,Closed,Code Issue,5,False,1
Sprint 8,Payments,David,QA1,Critical,Resolved,Environment Issue,9,True,1
Sprint 8,Notifications,Charlie,QA1,High,Closed,Code Issue,30,False,1
Sprint 8,Notifications,Charlie,QA1,Critical,In Progress,Requirement Gap,17,True,4
Sprint 8,Notifications,Charlie,QA1,High,Open,Code Issue,7,False,9
Sprint 8,Notifications,Charlie,QA1,Critical,Closed,Environment Issue,14,False,8
Sprint 8,Notifications,Charlie,QA1,High,Closed,Environment Issue,18,True,4
Sprint 8,Notifications,Charlie,QA1,Low,In Progress,Test Coverage Miss,14,True,9
Sprint 8,Reports,Eve,QA4,Low,Open,Code Issue,2,True,10
Sprint 8,Reports,Eve,QA4,Medium,Open,Test Coverage Miss,22,True,8
Sprint 8,Reports,Eve,QA4,Critical,In Progress,Requirement Gap,23,True,2
Sprint 8,Reports,Eve,QA4,High,Resolved,Code Issue,19,False,10
Sprint 8,Reports,Eve,QA4,Critical,Resolved,Test Coverage Miss,7,False,4
Sprint 8,Reports,Eve,QA4,High,Closed,Requirement Gap,6,False,1
Sprint 8,Reports,Eve,QA4,Medium,Resolved,Code Issue,7,False,8
Sprint 8,Dashboard,Frank,QA5,High,In Progress,Requirement Gap,15,False,9
Sprint 8,Dashboard,Frank,QA5,High,Open,Environment Issue,25,False,3
Sprint 8,Dashboard,Frank,QA5,Low,Resolved,Requirement Gap,13,False,4
Sprint 8,Dashboard,Frank,QA5,Low,Open,Requirement Gap,24,False,6
Sprint 8,Dashboard,Frank,QA5,Low,Open,Code Issue,15,False,9
Sprint 8,Dashboard,Frank,QA5,Critical,Open,Environment Issue,10,False,10
Sprint 8,Dashboard,Frank,QA5,Critical,Resolved,Requirement Gap,28,False,4
Sprint 8,Dashboard,Frank,QA5,Low,Open,Environment Issue,19,True,6
Sprint 9,Authentication,Alice,QA2,High,Open,Requirement Gap,14,False,2
Sprint 9,Authentication,Alice,QA2,Medium,Closed,Code Issue,27,False,1
Sprint 9,Billing,Bob,QA5,Medium,Closed,Test Coverage Miss,13,True,4
Sprint 9,Billing,Bob,QA5,Low,Closed,Environment Issue,13,True,8
Sprint 9,Billing,Bob,QA5,Medium,In Progress,Requirement Gap,2,False,3
Sprint 9,Billing,Bob,QA5,Low,In Progress,Environment Issue,13,True,9
Sprint 9,Billing,Bob,QA5,Low,Resolved,Requirement Gap,3,True,10
Sprint 9,Billing,Bob,QA5,High,In Progress,Code Issue,6,True,8
Sprint 9,Billing,Bob,QA5,Critical,Resolved,Test Coverage Miss,16,True,4
Sprint 9,Billing,Bob,QA5,Critical,Resolved,Test Coverage Miss,22,False,5
Sprint 9,Payments,Eve,QA4,Low,Closed,Environment Issue,7,True,3
Sprint 9,Payments,Eve,QA4,Critical,Closed,Test Coverage Miss,18,False,2
Sprint 9,Notifications,David,QA1,High,Open,Code Issue,18,True,1
Sprint 9,Notifications,David,QA1,Medium,Closed,Requirement Gap,26,False,9
Sprint 9,Notifications,David,QA1,Low,Open,Requirement Gap,28,True,7
Sprint 9,Notifications,David,QA1,Low,In Progress,Requirement Gap,22,True,7
Sprint 9,Notifications,David,QA1,Medium,In Progress,Requirement Gap,11,False,4
Sprint 9,Notifications,David,QA1,Medium,In Progress,Test Coverage Miss,10,False,5
Sprint 9,Notifications,David,QA1,Low,In Progress,Environment Issue,30,True,4
Sprint 9,Reports,Charlie,QA5,Medium,Open,Environment Issue,16,True,7
Sprint 9,Reports,Charlie,QA5,Medium,Closed,Environment Issue,15,False,3
Sprint 9,Reports,Charlie,QA5,Medium,In Progress,Test Coverage Miss,19,False,5
Sprint 9,Reports,Charlie,QA5,Low,In Progress,Test Coverage Miss,29,True,4
Sprint 9,Reports,Charlie,QA5,High,Open,Environment Issue,6,True,8
Sprint 9,Dashboard,Charlie,QA5,Critical,Open,Environment Issue,29,False,5
Sprint 9,Dashboard,Charlie,QA5,Low,Open,Requirement Gap,21,False,6
Sprint 9,Dashboard,Charlie,QA5,High,Resolved,Code Issue,26,True,8
Sprint 9,Dashboard,Charlie,QA5,Low,Closed,Environment Issue,18,False,10
Sprint 9,Dashboard,Charlie,QA5,Critical,Open,Requirement Gap,16,False,2
Sprint 9,Dashboard,Charlie,QA5,Medium,Resolved,Environment Issue,15,True,7
Sprint 9,Dashboard,Charlie,QA5,Low,In Progress,Test Coverage Miss,8,False,5
Sprint 10,Authentication,Bob,QA5,High,Closed,Environment Issue,22,True,6
Sprint 10,Authentication,Bob,QA5,High,In Progress,Code Issue,14,True,9
Sprint 10,Authentication,Bob,QA5,Medium,Resolved,Test Coverage Miss,9,False,6
Sprint 10,Billing,Eve,QA4,Critical,In Progress,Test Coverage Miss,6,False,10
Sprint 10,Billing,Eve,QA4,Medium,Resolved,Environment Issue,15,False,8
Sprint 10,Billing,Eve,QA4,Low,Open,Code Issue,23,True,4
Sprint 10,Billing,Eve,QA4,Critical,Resolved,Code Issue,13,False,9
