Sprint,Module,Priority,Status,Root_Cause_Analysis
Sprint 2,Reports,Low,Resolved,Code Issue
Sprint 2,Reports,High,Open,Code Issue
Sprint 2,Dashboard,High,Resolved,Environment Issue
Sprint 2,Dashboard,Medium,In Progress,Requirement Gap
Sprint 2,Dashboard,Medium,In Progress,Environment Issue
Sprint 2,Dashboard,High,In Progress,Environment Issue
Sprint 3,Authentication,High,In Progress,Environment Issue
Sprint 3,Authentication,Medium,Open,Code Issue
Sprint 3,Authentication,Low,Closed,Environment Issue
Sprint 3,Authentication,Medium,Closed,Test Coverage Miss
Sprint 3,Authentication,High,In Progress,Code Issue
Sprint 3,Billing,Critical,Resolved,Environment Issue
Sprint 3,Billing,Medium,Closed,Requirement Gap
Sprint 3,Billing,Medium,Closed,Test Coverage Miss
Sprint 3,Billing,High,Open,Requirement Gap
Sprint 3,Billing,High,Resolved,Code Issue
Sprint 3,Billing,Low,In Progress,Code Issue
Sprint 3,Billing,Medium,In Progress,Code Issue
Sprint 3,Payments,Critical,Resolved,Code Issue
Sprint 3,Payments,Low,Open,Code Issue
Sprint 3,Payments,Low,Open,Code Issue
Sprint 3,Payments,Critical,Open,Code Issue
Sprint 3,Notifications,Critical,Resolved,Test Coverage Miss
Sprint 3,Notifications,High,Open,Requirement Gap
Sprint 3,Notifications,Medium,Resolved,Code Issue
Sprint 3,Notifications,High,Closed,Code Issue
Sprint 3,Notifications,High,Open,Code Issue
Sprint 3,Notifications,Critical,Open,Code Issue
Sprint 3,Notifications,Critical,Closed,Environment Issue
Sprint 3,Notifications,Medium,In Progress,Test Coverage Miss
Sprint 3,Notifications,Low,Resolved,Test Coverage Miss
Sprint 3,Reports,Low,Open,Code Issue
Sprint 3,Reports,High,Open,Environment Issue
Sprint 3,Reports,High,Closed,Requirement Gap
Sprint 3,Reports,Critical,Resolved,Environment Issue
Sprint 3,Reports,High,In Progress,Requirement Gap
Sprint 3,Reports,Low,Open,Test Coverage Miss
Sprint 3,Reports,Critical,Closed,Environment Issue
Sprint 3,Reports,Low,Open,Code Issue
Sprint 3,Dashboard,Medium,In Progress,Test Coverage Miss
Sprint 3,Dashboard,Low,Closed,Environment Issue
Sprint 3,Dashboard,Critical,In Progress,Environment Issue
Sprint 3,Dashboard,Critical,Resolved,Test Coverage Miss
Sprint 3,Dashboard,Low,In Progress,Requirement Gap
Sprint 3,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 3,Dashboard,Critical,Open,Environment Issue
Sprint 3,Dashboard,High,Open,Requirement Gap
Sprint 4,Authentication,High,Closed,Requirement Gap
Sprint 4,Authentication,High,In Progress,Code Issue
Sprint 4,Authentication,Medium,Closed,Environment Issue
Sprint 4,Authentication,High,In Progress,Code Issue
Sprint 4,Authentication,Medium,Resolved,Test Coverage Miss
Sprint 4,Authentication,Critical,Closed,Environment Issue
Sprint 4,Authentication,Critical,In Progress,Code Issue
Sprint 4,Authentication,Critical,Resolved,Test Coverage Miss
Sprint 4,Authentication,Medium,Closed,Requirement Gap
Sprint 4,Authentication,High,Open,Requirement Gap
Sprint 4,Billing,Critical,Resolved,Code Issue
Sprint 4,Billing,High,Closed,Requirement Gap
Sprint 4,Billing,Low,Closed,Environment Issue
Sprint 4,Billing,High,Open,Code Issue
Sprint 4,Payments,Medium,Resolved,Test Coverage Miss
Sprint 4,Payments,High,Open,Code Issue
Sprint 4,Payments,Low,Open,Requirement Gap
Sprint 4,Payments,Critical,Closed,Code Issue
Sprint 4,Payments,Critical,In Progress,Requirement Gap
Sprint 4,Payments,High,Open,Test Coverage Miss
Sprint 4,Payments,High,Resolved,Code Issue
Sprint 4,Payments,High,In Progress,Code Issue
Sprint 4,Notifications,Low,In Progress,Code Issue
Sprint 4,Notifications,Low,In Progress,Requirement Gap
Sprint 4,Notifications,Critical,In Progress,Requirement Gap
Sprint 4,Notifications,Critical,Resolved,Requirement Gap
Sprint 4,Notifications,Critical,In Progress,Code Issue
Sprint 4,Notifications,Medium,In Progress,Environment Issue
Sprint 4,Notifications,Low,Resolved,Environment Issue
Sprint 4,Notifications,Critical,In Progress,Code Issue
Sprint 4,Reports,High,Resolved,Requirement Gap
Sprint 4,Reports,Critical,In Progress,Test Coverage Miss
Sprint 4,Reports,Low,Open,Environment Issue
Sprint 4,Reports,Low,In Progress,Code Issue
Sprint 4,Reports,Critical,Open,Environment Issue
Sprint 4,Reports,Low,Resolved,Requirement Gap
Sprint 4,Reports,Low,Closed,Code Issue
Sprint 4,Reports,Low,In Progress,Test Coverage Miss
Sprint 4,Reports,Medium,In Progress,Code Issue
Sprint 4,Dashboard,High,Resolved,Environment Issue
Sprint 4,Dashboard,Medium,Resolved,Environment Issue
Sprint 5,Authentication,Critical,Open,Test Coverage Miss
Sprint 5,Authentication,Medium,Resolved,Code Issue
Sprint 5,Authentication,Medium,Closed,Environment Issue
Sprint 5,Authentication,Medium,In Progress,Code Issue
Sprint 5,Authentication,High,Resolved,Requirement Gap
Sprint 5,Authentication,High,Resolved,Requirement Gap
Sprint 5,Authentication,High,Open,Test Coverage Miss
Sprint 5,Authentication,Low,In Progress,Requirement Gap
Sprint 5,Authentication,Low,Resolved,Environment Issue
Sprint 5,Authentication,Critical,Closed,Test Coverage Miss
Sprint 5,Billing,Medium,Open,Code Issue
Sprint 5,Billing,Medium,In Progress,Environment Issue
Sprint 5,Billing,Medium,Closed,Environment Issue
Sprint 5,Billing,Medium,In Progress,Environment Issue
Sprint 5,Billing,Critical,Closed,Requirement Gap
Sprint 5,Billing,Low,Resolved,Environment Issue
Sprint 5,Payments,High,In Progress,Requirement Gap
Sprint 5,Payments,High,Open,Requirement Gap
Sprint 5,Payments,High,Open,Test Coverage Miss
Sprint 5,Payments,Critical,In Progress,Environment Issue
Sprint 5,Payments,Critical,In Progress,Environment Issue
Sprint 5,Payments,Low,Closed,Requirement Gap
Sprint 5,Payments,Low,Closed,Requirement Gap
Sprint 5,Payments,Medium,Resolved,Environment Issue
Sprint 5,Payments,Medium,In Progress,Environment Issue
Sprint 5,Payments,Medium,Open,Environment Issue
Sprint 5,Notifications,High,In Progress,Test Coverage Miss
Sprint 5,Notifications,Critical,Open,Code Issue
Sprint 5,Notifications,Medium,In Progress,Test Coverage Miss
Sprint 5,Notifications,High,In Progress,Test Coverage Miss
Sprint 5,Notifications,Low,Closed,Requirement Gap
Sprint 5,Notifications,Medium,Open,Environment Issue
Sprint 5,Notifications,Low,Closed,Environment Issue
Sprint 5,Notifications,Critical,Closed,Environment Issue
Sprint 5,Notifications,Medium,Closed,Environment Issue
Sprint 5,Reports,Low,In Progress,Test Coverage Miss
Sprint 5,Reports,High,Closed,Code Issue
Sprint 5,Reports,Low,In Progress,Environment Issue
Sprint 5,Reports,Low,Closed,Test Coverage Miss
Sprint 5,Reports,High,Closed,Requirement Gap
Sprint 5,Reports,Critical,Open,Requirement Gap
Sprint 5,Reports,Medium,Closed,Code Issue
Sprint 5,Reports,Critical,Closed,Requirement Gap
Sprint 5,Reports,Medium,In Progress,Environment Issue
Sprint 5,Reports,Critical,In Progress,Test Coverage Miss
Sprint 5,Dashboard,Medium,In Progress,Code Issue
Sprint 5,Dashboard,Low,Resolved,Requirement Gap
Sprint 5,Dashboard,Low,In Progress,Code Issue
Sprint 6,Authentication,Low,Open,Code Issue
Sprint 6,Authentication,Medium,Open,Test Coverage Miss
Sprint 6,Authentication,Critical,Open,Environment Issue
Sprint 6,Billing,Low,In Progress,Code Issue
Sprint 6,Billing,Medium,In Progress,Environment Issue
Sprint 6,Billing,High,Open,Code Issue
Sprint 6,Payments,High,In Progress,Requirement Gap
Sprint 6,Payments,Medium,Resolved,Requirement Gap
Sprint 6,Payments,Critical,Open,Test Coverage Miss
Sprint 6,Payments,Medium,Resolved,Environment Issue
Sprint 6,Payments,High,Closed,Code Issue
Sprint 6,Payments,High,Closed,Code Issue
Sprint 6,Notifications,High,Resolved,Requirement Gap
Sprint 6,Notifications,Low,Resolved,Code Issue
Sprint 6,Notifications,Low,Closed,Test Coverage Miss
Sprint 6,Notifications,Critical,Resolved,Requirement Gap
Sprint 6,Notifications,Medium,Closed,Code Issue
Sprint 6,Notifications,Medium,Closed,Environment Issue
Sprint 6,Notifications,High,Open,Test Coverage Miss
Sprint 6,Notifications,Medium,Closed,Environment Issue
Sprint 6,Reports,High,Resolved,Code Issue
Sprint 6,Reports,Medium,Resolved,Environment Issue
Sprint 6,Reports,Low,Open,Test Coverage Miss
Sprint 6,Reports,Low,Closed,Requirement Gap
Sprint 6,Reports,Critical,Resolved,Environment Issue
Sprint 6,Reports,Low,Closed,Test Coverage Miss
Sprint 6,Reports,Medium,In Progress,Environment Issue
Sprint 6,Reports,Medium,Open,Environment Issue
Sprint 6,Dashboard,High,Resolved,Environment Issue
Sprint 6,Dashboard,Low,In Progress,Test Coverage Miss
Sprint 6,Dashboard,Low,In Progress,Code Issue
Sprint 6,Dashboard,Critical,Closed,Test Coverage Miss
Sprint 6,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 7,Authentication,Medium,Closed,Test Coverage Miss
Sprint 7,Authentication,Low,Resolved,Test Coverage Miss
Sprint 7,Authentication,Medium,Open,Requirement Gap
Sprint 7,Authentication,Critical,Open,Test Coverage Miss
Sprint 7,Authentication,High,In Progress,Code Issue
Sprint 7,Authentication,Medium,Resolved,Requirement Gap
Sprint 7,Authentication,High,Closed,Test Coverage Miss
Sprint 7,Authentication,Low,In Progress,Code Issue
Sprint 7,Authentication,Low,In Progress,Environment Issue
Sprint 7,Authentication,Critical,Open,Code Issue
Sprint 7,Billing,Critical,Resolved,Requirement Gap
Sprint 7,Billing,Low,Closed,Requirement Gap
Sprint 7,Billing,Low,Closed,Requirement Gap
Sprint 7,Billing,High,In Progress,Code Issue
Sprint 7,Billing,Low,Open,Code Issue
Sprint 7,Billing,Medium,Closed,Test Coverage Miss
Sprint 7,Billing,Critical,Resolved,Environment Issue
Sprint 7,Billing,Critical,Closed,Test Coverage Miss
Sprint 7,Billing,Critical,In Progress,Test Coverage Miss
Sprint 7,Billing,Medium,In Progress,Environment Issue
Sprint 7,Payments,High,In Progress,Test Coverage Miss
Sprint 7,Payments,Medium,Closed,Environment Issue
Sprint 7,Payments,High,Resolved,Test Coverage Miss
Sprint 7,Payments,Medium,Resolved,Code Issue
Sprint 7,Payments,Critical,Resolved,Requirement Gap
Sprint 7,Payments,High,Closed,Code Issue
Sprint 7,Payments,Critical,In Progress,Code Issue
Sprint 7,Notifications,High,In Progress,Requirement Gap
Sprint 7,Notifications,Medium,Open,Test Coverage Miss
Sprint 7,Notifications,High,Resolved,Requirement Gap
Sprint 7,Notifications,Medium,Resolved,Environment Issue
Sprint 7,Notifications,High,Open,Environment Issue
Sprint 7,Reports,High,Closed,Test Coverage Miss
Sprint 7,Reports,High,Open,Code Issue
Sprint 7,Reports,High,In Progress,Test Coverage Miss
Sprint 7,Reports,Low,Open,Requirement Gap
Sprint 7,Dashboard,High,Closed,Test Coverage Miss
Sprint 7,Dashboard,Critical,Closed,Test Coverage Miss
Sprint 7,Dashboard,High,Resolved,Environment Issue
Sprint 7,Dashboard,High,In Progress,Code Issue
Sprint 7,Dashboard,Low,Open,Environment Issue
Sprint 7,Dashboard,Critical,Open,Code Issue
Sprint 7,Dashboard,Low,Resolved,Environment Issue
Sprint 7,Dashboard,High,Closed,Test Coverage Miss
Sprint 7,Dashboard,Low,In Progress,Code Issue
Sprint 7,Dashboard,Critical,Open,Test Coverage Miss
Sprint 8,Authentication,High,In Progress,Environment Issue
Sprint 8,Authentication,High,Resolved,Environment Issue
Sprint 8,Billing,Low,In Progress,Requirement Gap
Sprint 8,Billing,Medium,Resolved,Test Coverage Miss
Sprint 8,Billing,Medium,Resolved,Requirement Gap
Sprint 8,Payments,Medium,Open,Test Coverage Miss
Sprint 8,Payments,Low,Open,Environment Issue
Sprint 8,Payments,Medium,Open,Test Coverage Miss
Sprint 8,Payments,Low,Resolved,Requirement Gap
Sprint 8,Payments,Critical,In Progress,Requirement Gap
Sprint 8,Payments,High,In Progress,Requirement Gap
Sprint 8,Payments,High,Resolved,Code Issue
Sprint 8,Payments,Medium,Open,Test Coverage Miss
Sprint 8,Payments,High,Closed,Code Issue
Sprint 8,Payments,Medium,Resolved,Environment Issue
Sprint 8,Notifications,Critical,Resolved,Requirement Gap
Sprint 8,Notifications,Critical,Closed,Requirement Gap
Sprint 8,Reports,Medium,In Progress,Code Issue
Sprint 8,Reports,Low,In Progress,Requirement Gap
Sprint 8,Reports,Low,In Progress,Environment Issue
Sprint 8,Reports,Critical,Resolved,Test Coverage Miss
Sprint 8,Reports,Medium,In Progress,Requirement Gap
Sprint 8,Reports,Medium,Open,Requirement Gap
Sprint 8,Dashboard,High,Resolved,Code Issue
Sprint 8,Dashboard,Low,Resolved,Code Issue
Sprint 8,Dashboard,Critical,In Progress,Test Coverage Miss
Sprint 8,Dashboard,Critical,Open,Code Issue
Sprint 8,Dashboard,Medium,Closed,Test Coverage Miss
Sprint 8,Dashboard,High,In Progress,Requirement Gap
Sprint 8,Dashboard,Critical,In Progress,Environment Issue
Sprint 8,Dashboard,High,Closed,Environment Issue
Sprint 9,Authentication,High,In Progress,Environment Issue
Sprint 9,Authentication,High,Closed,Requirement Gap
Sprint 9,Authentication,Medium,Resolved,Code Issue
Sprint 9,Authentication,High,In Progress,Requirement Gap
Sprint 9,Authentication,High,In Progress,Code Issue
Sprint 9,Authentication,Low,In Progress,Test Coverage Miss
Sprint 9,Authentication,Critical,In Progress,Environment Issue
Sprint 9,Authentication,Critical,Resolved,Requirement Gap
Sprint 9,Authentication,Medium,In Progress,Requirement Gap
Sprint 9,Authentication,Low,Open,Code Issue
Sprint 9,Billing,Medium,Open,Requirement Gap
Sprint 9,Billing,High,Open,Environment Issue
Sprint 9,Billing,Medium,Open,Requirement Gap
Sprint 9,Billing,Medium,Open,Requirement Gap
Sprint 9,Billing,Medium,In Progress,Code Issue
Sprint 9,Billing,High,Resolved,Code Issue
Sprint 9,Billing,High,In Progress,Code Issue
Sprint 9,Billing,Critical,Closed,Code Issue
Sprint 9,Billing,Critical,Resolved,Environment Issue
Sprint 9,Billing,Medium,Resolved,Code Issue
Sprint 9,Payments,Critical,In Progress,Requirement Gap
Sprint 9,Payments,Medium,Resolved,Test Coverage Miss
Sprint 9,Payments,Critical,Closed,Requirement Gap
Sprint 9,Payments,Low,Resolved,Code Issue
Sprint 9,Payments,Medium,Closed,Test Coverage Miss
Sprint 9,Payments,High,In Progress,Code Issue
Sprint 9,Payments,Low,Closed,Requirement Gap
Sprint 9,Payments,Medium,Closed,Test Coverage Miss
Sprint 9,Payments,Low,In Progress,Environment Issue
Sprint 9,Notifications,Critical,In Progress,Requirement Gap
Sprint 9,Notifications,Critical,Resolved,Code Issue
Sprint 9,Notifications,High,In Progress,Code Issue
Sprint 9,Notifications,Critical,In Progress,Requirement Gap
Sprint 9,Reports,High,In Progress,Environment Issue
Sprint 9,Reports,Critical,In Progress,Test Coverage Miss
Sprint 9,Dashboard,High,Resolved,Test Coverage Miss
Sprint 9,Dashboard,Medium,Open,Test Coverage Miss
Sprint 9,Dashboard,High,Resolved,Environment Issue
Sprint 9,Dashboard,Medium,Resolved,Environment Issue
Sprint 9,Dashboard,Low,Resolved,Test Coverage Miss
Sprint 9,Dashboard,High,In Progress,Environment Issue
Sprint 9,Dashboard,Low,Open,Requirement Gap
Sprint 9,Dashboard,Medium,Resolved,Code Issue
Sprint 9,Dashboard,Low,Closed,Environment Issue
Sprint 10,Authentication,High,Open,Code Issue
Sprint 10,Authentication,Critical,Resolved,Test Coverage Miss
Sprint 10,Authentication,Medium,In Progress,Environment Issue
Sprint 10,Authentication,High,Open,Requirement Gap
Sprint 10,Authentication,Medium,Resolved,Environment Issue
Sprint 10,Authentication,Low,Resolved,Environment Issue
Sprint 10,Authentication,Critical,Resolved,Environment Issue
Sprint 10,Authentication,Critical,In Progress,Code Issue
Sprint 10,Authentication,High,Open,Requirement Gap
Sprint 10,Billing,Critical,Open,Requirement Gap
Sprint 10,Billing,Low,Closed,Test Coverage Miss
Sprint 10,Billing,High,Closed,Code Issue
Sprint 10,Billing,Medium,Closed,Code Issue
Sprint 10,Billing,Low,Resolved,Environment Issue
Sprint 10,Billing,Low,Closed,Code Issue
Sprint 10,Billing,Critical,In Progress,Requirement Gap
Sprint 10,Billing,Medium,Open,Code Issue
Sprint 10,Billing,High,In Progress,Environment Issue
Sprint 10,Payments,Critical,Open,Requirement Gap
Sprint 10,Payments,High,In Progress,Requirement Gap
Sprint 10,Payments,Medium,Open,Code Issue
Sprint 10,Payments,Medium,Resolved,Requirement Gap
Sprint 10,Payments,Critical,Closed,Test Coverage Miss
Sprint 10,Payments,Medium,Open,Code Issue
Sprint 10,Payments,Medium,Open,Requirement Gap
Sprint 10,Payments,Medium,Open,Test Coverage Miss
Sprint 10,Payments,Medium,In Progress,Test Coverage Miss
Sprint 10,Notifications,Low,Closed,Test Coverage Miss
Sprint 10,Notifications,High,Closed,Test Coverage Miss
Sprint 10,Notifications,Critical,Resolved,Test Coverage Miss
Sprint 10,Notifications,Critical,Resolved,Environment Issue
Sprint 10,Notifications,High,Closed,Code Issue
Sprint 10,Notifications,Critical,Open,Environment Issue
Sprint 10,Notifications,Low,Open,Code Issue
Sprint 10,Reports,High,Open,Code Issue
Sprint 10,Reports,High,Closed,Test Coverage Miss
Sprint 10,Reports,Low,Open,Test Coverage Miss
Sprint 10,Reports,High,In Progress,Test Coverage Miss
Sprint 10,Reports,Critical,Resolved,Code Issue
Sprint 10,Reports,Critical,Open,Code Issue
Sprint 10,Reports,Low,In Progress,Requirement Gap
Sprint 10,Reports,Medium,Open,Requirement Gap
Sprint 10,Reports,Critical,Open,Requirement Gap
Sprint 10,Dashboard,High,Closed,Requirement Gap
Sprint 10,Dashboard,High,In Progress,Code Issue
Sprint 10,Dashboard,Low,In Progress,Test Coverage Miss
Sprint 10,Dashboard,Critical,In Progress,Requirement Gap
Sprint 10,Dashboard,Low,Open,Environment Issue
Sprint 11,Authentication,Critical,Resolved,Code Issue
Sprint 11,Authentication,High,Open,Code Issue
Sprint 11,Authentication,High,Open,Code Issue
Sprint 11,Authentication,High,Resolved,Environment Issue
Sprint 11,Authentication,High,In Progress,Code Issue
Sprint 11,Authentication,Critical,In Progress,Code Issue
Sprint 11,Billing,Critical,Resolved,Code Issue
Sprint 11,Billing,Medium,In Progress,Code Issue
Sprint 11,Billing,High,Resolved,Environment Issue
Sprint 11,Billing,Critical,Closed,Environment Issue
Sprint 11,Billing,Medium,Open,Environment Issue
Sprint 11,Billing,Critical,In Progress,Environment Issue
Sprint 11,Billing,Low,Resolved,Test Coverage Miss
Sprint 11,Payments,Low,Resolved,Code Issue
Sprint 11,Payments,Medium,Resolved,Requirement Gap
Sprint 11,Payments,Critical,In Progress,Environment Issue
Sprint 11,Payments,Medium,In Progress,Code Issue
Sprint 11,Payments,High,Open,Environment Issue
Sprint 11,Payments,Critical,Resolved,Code Issue
Sprint 11,Payments,Low,In Progress,Test Coverage Miss
Sprint 11,Payments,High,In Progress,Environment Issue
Sprint 11,Notifications,Low,Open,Code Issue
Sprint 11,Notifications,Medium,Open,Requirement Gap
Sprint 11,Notifications,Critical,Closed,Environment Issue
Sprint 11,Notifications,Critical,Closed,Environment Issue
Sprint 11,Notifications,Low,Open,Test Coverage Miss
Sprint 11,Notifications,High,Open,Requirement Gap
Sprint 11,Notifications,Low,Resolved,Test Coverage Miss
Sprint 11,Notifications,Critical,In Progress,Code Issue
Sprint 11,Reports,Medium,Resolved,Test Coverage Miss
Sprint 11,Reports,High,In Progress,Test Coverage Miss
Sprint 11,Reports,Critical,Resolved,Environment Issue
Sprint 11,Reports,Medium,Closed,Code Issue
Sprint 11,Dashboard,High,Open,Test Coverage Miss
Sprint 11,Dashboard,Medium,Resolved,Code Issue
Sprint 11,Dashboard,High,Open,Requirement Gap
Sprint 11,Dashboard,Critical,Closed,Environment Issue
Sprint 11,Dashboard,Medium,Resolved,Code Issue
Sprint 12,Authentication,Low,Closed,Code Issue
Sprint 12,Authentication,High,Resolved,Environment Issue
Sprint 12,Authentication,Medium,Resolved,Environment Issue
Sprint 12,Authentication,Low,In Progress,Code Issue
Sprint 12,Billing,High,Open,Code Issue
Sprint 12,Billing,Medium,Open,Requirement Gap
Sprint 12,Billing,High,Resolved,Test Coverage Miss
Sprint 12,Billing,High,Closed,Code Issue
Sprint 12,Billing,Critical,In Progress,Requirement Gap
Sprint 12,Payments,High,In Progress,Code Issue
Sprint 12,Payments,High,Open,Test Coverage Miss
Sprint 12,Payments,Low,Closed,Requirement Gap
Sprint 12,Payments,Medium,In Progress,Test Coverage Miss
Sprint 12,Payments,High,In Progress,Requirement Gap
Sprint 12,Payments,Medium,Open,Requirement Gap
Sprint 12,Payments,High,Closed,Test Coverage Miss
Sprint 12,Payments,Medium,In Progress,Test Coverage Miss
Sprint 12,Payments,Medium,Resolved,Code Issue
Sprint 12,Notifications,Critical,Closed,Environment Issue
Sprint 12,Notifications,Critical,Resolved,Requirement Gap
Sprint 12,Notifications,Low,In Progress,Code Issue
Sprint 12,Notifications,Low,In Progress,Test Coverage Miss
Sprint 12,Notifications,Medium,Open,Requirement Gap
Sprint 12,Notifications,High,Resolved,Code Issue
Sprint 12,Notifications,Low,Closed,Test Coverage Miss
Sprint 12,Notifications,Critical,Resolved,Test Coverage Miss
Sprint 12,Notifications,Low,Open,Requirement Gap
Sprint 12,Reports,Critical,Closed,Test Coverage Miss
Sprint 12,Reports,Medium,In Progress,Code Issue
Sprint 12,Dashboard,Low,Open,Requirement Gap
Sprint 12,Dashboard,Medium,Open,Code Issue
Sprint 12,Dashboard,Low,Resolved,Test Coverage Miss
Sprint 12,Dashboard,Low,In Progress,Test Coverage Miss
Sprint 12,Dashboard,Low,Open,Code Issue
Sprint 12,Dashboard,Medium,Open,Requirement Gap
Sprint 12,Dashboard,Low,Resolved,Environment Issue
Sprint 12,Dashboard,Critical,Closed,Requirement Gap
Sprint 12,Dashboard,Medium,Resolved,Code Issue
Sprint 13,Authentication,Critical,In Progress,Code Issue
Sprint 13,Authentication,Critical,Resolved,Code Issue
Sprint 13,Authentication,Critical,Open,Requirement Gap
Sprint 13,Authentication,High,In Progress,Code Issue
Sprint 13,Authentication,High,Closed,Test Coverage Miss
Sprint 13,Billing,Critical,Closed,Test Coverage Miss
Sprint 13,Billing,Medium,Resolved,Requirement Gap
Sprint 13,Billing,Critical,In Progress,Test Coverage Miss
Sprint 13,Billing,High,Open,Environment Issue
Sprint 13,Billing,High,Closed,Code Issue
Sprint 13,Billing,Medium,In Progress,Environment Issue
Sprint 13,Billing,Medium,Closed,Requirement Gap
Sprint 13,Payments,Medium,Open,Environment Issue
Sprint 13,Payments,Medium,Closed,Code Issue
Sprint 13,Payments,Critical,In Progress,Test Coverage Miss
Sprint 13,Payments,High,In Progress,Requirement Gap
Sprint 13,Payments,High,Open,Code Issue
Sprint 13,Payments,High,Open,Code Issue
Sprint 13,Payments,Medium,Resolved,Environment Issue
Sprint 13,Payments,Low,Closed,Code Issue
Sprint 13,Payments,High,In Progress,Test Coverage Miss
Sprint 13,Notifications,Low,Open,Test Coverage Miss
Sprint 13,Notifications,Medium,In Progress,Code Issue
Sprint 13,Notifications,Critical,Open,Test Coverage Miss
Sprint 13,Notifications,High,In Progress,Environment Issue
Sprint 13,Notifications,Medium,Open,Environment Issue
Sprint 13,Notifications,Medium,Closed,Code Issue
Sprint 13,Reports,High,In Progress,Test Coverage Miss
Sprint 13,Reports,Medium,In Progress,Test Coverage Miss
Sprint 13,Reports,Medium,Closed,Environment Issue
Sprint 13,Reports,Critical,In Progress,Requirement Gap
Sprint 13,Reports,Critical,In Progress,Test Coverage Miss
Sprint 13,Reports,Medium,Open,Environment Issue
Sprint 13,Reports,Critical,In Progress,Requirement Gap
Sprint 13,Reports,Medium,Open,Test Coverage Miss
Sprint 13,Dashboard,Critical,Resolved,Environment Issue
Sprint 13,Dashboard,Medium,Open,Test Coverage Miss
Sprint 13,Dashboard,High,Resolved,Test Coverage Miss
Sprint 13,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 13,Dashboard,Medium,Resolved,Test Coverage Miss
Sprint 13,Dashboard,High,Resolved,Environment Issue
Sprint 13,Dashboard,Medium,Resolved,Requirement Gap
Sprint 13,Dashboard,Low,In Progress,Environment Issue
Sprint 13,Dashboard,Medium,Resolved,Environment Issue
Sprint 14,Authentication,Low,Closed,Requirement Gap
Sprint 14,Authentication,Low,Open,Test Coverage Miss
Sprint 14,Authentication,Medium,Closed,Code Issue
Sprint 14,Authentication,High,Resolved,Requirement Gap
Sprint 14,Authentication,Low,In Progress,Test Coverage Miss
Sprint 14,Authentication,Critical,In Progress,Code Issue
Sprint 14,Authentication,Low,In Progress,Environment Issue
Sprint 14,Billing,Medium,Resolved,Environment Issue
